1|Nahuel GUZMAN|Argentina|GUZMÁN|Nahuel Ignacio|GUZMÁN|10.02.1986|GK|Tigres (MEX)|192|6|0
2|Gabriel MERCADO|Argentina|MERCADO|Gabriel Ivan|MERCADO|18.03.1987|DF|Sevilla FC (ESP)|181|20|3
3|Nicolas TAGLIAFICO|Argentina|TAGLIAFICO|Nicolás Alejandro|TAGLIAFICO|31.08.1992|DF|Ajax (NED)|169|4|0
4|Cristian ANSALDI|Argentina|ANSALDI|Cristian Daniel|ANSALDI|20.09.1986|DF|Torino (ITA)|181|5|1
5|Lucas BIGLIA|Argentina|BIGLIA|Lucas Rodrigo|BIGLIA|30.01.1986|MF|AC Milan (ITA)|175|57|1
6|Federico FAZIO|Argentina|FAZIO|Federico Julián|FAZIO|17.03.1987|DF|AS Roma (ITA)|199|9|1
7|Ever BANEGA|Argentina|BANEGA|Ever Maximiliano David|BANEGA|29.06.1988|MF|Sevilla FC (ESP)|175|62|6
8|Marcos ACUNA|Argentina|ACUÑA|Marcos Javier|ACUÑA|28.10.1991|DF|Sporting CP (POR)|172|10|0
9|Gonzalo HIGUAIN|Argentina|HIGUAIN|Gonzalo Gerardo|HIGUAÍN|10.12.1987|FW|Juventus (ITA)|184|72|31
10|Lionel MESSI|Argentina|MESSI|Lionel Andres|MESSI|24.06.1987|FW|FC Barcelona (ESP)|170|124|64
11|Angel DI MARIA|Argentina|DI MARIA|Angel Fabian|DI MARÍA|14.02.1988|MF|Paris Saint-Germain (FRA)|178|94|19
12|Franco ARMANI|Argentina|ARMANI|Franco|ARMANI|16.10.1986|GK|River Plate (ARG)|189|0|0
13|Maximiliano MEZA|Argentina|MEZA|Maximiliano Eduardo|MEZA|15.12.1992|MF|Independiente (ARG)|180|2|0
14|Javier MASCHERANO|Argentina|MASCHERANO|Javier Alejandro|MASCHERANO|08.06.1984|DF|Hebei Huabei (CHN)|174|143|3
15|Enzo PEREZ|Argentina|PEREZ|Enzo Nicolas|PÉREZ|22.02.1986|MF|River Plate (ARG)|178|23|1
16|Marcos ROJO|Argentina|ROJO|Faustino Marcos Alberto|MARCOS ROJO|20.03.1990|DF|Manchester United (ENG)|189|56|2
17|Nicolas OTAMENDI|Argentina|OTAMENDI|Nicolas Hernan Gonzalo|OTAMENDI|12.02.1988|DF|Manchester City (ENG)|181|54|4
18|Eduardo SALVIO|Argentina|SALVIO|Eduardo Antonio|SALVIO|13.07.1990|DF|Benfica (POR)|167|9|0
19|Sergio AGUERO|Argentina|AGÜERO|Sergio Leonel|KUN AGUERO|02.06.1988|FW|Manchester City (ENG)|172|85|37
20|Giovani LO CELSO|Argentina|LO CELSO|Giovani|LO CELSO|09.04.1996|MF|Paris Saint-Germain (FRA)|177|5|0
21|Paulo DYBALA|Argentina|DYBALA|Paulo Exequiel|DYBALA|15.11.1993|FW|Juventus (ITA)|177|12|0
22|Cristian PAVON|Argentina|PAVÓN|Cristian David|PAVÓN|21.01.1996|MF|Boca Juniors (ARG)|169|5|0
23|Wilfredo CABALLERO|Argentina|CABALLERO|Wilfredo Daniel|CABALLERO|28.09.1981|GK|Chelsea (ENG)|186|3|0
1|Mathew RYAN|Australia|RYAN|Mathew David|RYAN|08.04.1992|GK|Brighton (ENG)|184|44|0
2|Milos DEGENEK|Australia|DEGENEK|Milos|DEGENEK|28.04.1994|DF|Yokohama F Marinos (JPN)|187|18|0
3|James MEREDITH|Australia|MEREDITH|James Gregory|MEREDITH|05.04.1988|DF|Millwall (ENG)|179|2|0
4|Tim CAHILL|Australia|CAHILL|Timothy Filiga|CAHILL|06.12.1979|FW|Millwall (ENG)|180|106|50
5|Mark MILLIGAN|Australia|MILLIGAN|Mark Daniel|MILLIGAN|04.08.1985|DF|Al Ahli (KSA)|178|68|6
6|Matthew JURMAN|Australia|JURMAN|Matthew John|JURMAN|08.12.1989|DF|Suwon Samsung Bluewings (KOR)|190|4|0
7|Mathew LECKIE|Australia|LECKIE|Mathew Allan|LECKIE|04.02.1991|FW|Hertha BSC (GER)|181|53|8
8|Massimo LUONGO|Australia|LUONGO|Massimo Corey|LUONGO|25.09.1992|MF|Queens Park Rangers (ENG)|176|36|5
9|Tomi JURIC|Australia|JURIC|Tomi|JURIC|22.07.1991|FW|FC Luzern (SUI)|190|35|8
10|Robbie KRUSE|Australia|KRUSE|Robbie Thomas|KRUSE|05.10.1988|FW|VfL Bochum (GER)|180|64|5
11|Andrew NABBOUT|Australia|NABBOUT|Andrew|NABBOUT|17.12.1992|FW|Urawa Reds (JPN)|178|4|1
12|Brad JONES|Australia|JONES|Bradley Scott|JONES|19.03.1982|GK|Feyenoord (NED)|193|6|0
13|Aaron MOOY|Australia|MOOY|Aaron Frank|MOOY|15.09.1990|MF|Huddersfield (ENG)|173|34|5
14|Jamie MacLAREN|Australia|MACLAREN|Jamie|MACLAREN|29.07.1993|FW|Hibernian (SCO)|178|6|0
