cant_insc,anio_insc,mes_insc,dia_insc,sexo,talla
Milagro,2014,Julio,30,Mujer,45
Milagro,2014,Julio,30,Hombre,52
Milagro,2014,Julio,31,Mujer,52
San Jacinto de Yaguachi,2014,Julio,11,Hombre,49
Milagro,2014,Julio,31,Hombre,46
Milagro,2014,Julio,31,Mujer,51
Daule,2014,Julio,3,Mujer,47
Daule,2014,Julio,3,Mujer,45
Daule,2014,Julio,1,Hombre,0
Milagro,2014,Julio,31,Hombre,50
Cayambe,2014,Abril,9,Mujer,0
Daule,2014,Julio,1,Hombre,48
Daule,2014,Julio,2,Hombre,50
Daule,2014,Julio,1,Hombre,51
Daule,2014,Julio,2,Mujer,48
Daule,2014,Julio,3,Hombre,48
Daule,2014,Julio,3,Mujer,50
Daule,2014,Julio,3,Hombre,52
Daule,2014,Julio,3,Mujer,0
Daule,2014,Julio,3,Hombre,50
Daule,2014,Julio,3,Mujer,48
Quito,2014,Septiembre,19,Hombre,51
Riobamba,2014,Septiembre,30,Mujer,51
Guayaquil,2014,Julio,8,Mujer,39
Guayaquil,2014,Julio,8,Hombre,50
Guayaquil,2014,Julio,8,Hombre,52
San Jacinto de Yaguachi,2014,Julio,15,Mujer,0
Riobamba,2014,Septiembre,29,Hombre,45
Riobamba,2014,Septiembre,29,Mujer,51
Quito,2014,Septiembre,19,Mujer,48
Guayaquil,2014,Julio,8,Mujer,50
Riobamba,2014,Septiembre,19,Hombre,47
Guayaquil,2014,Julio,8,Mujer,48
Quito,2014,Septiembre,19,Hombre,49
Quito,2014,Marzo,11,Mujer,0
Venta0s,2014,Septiembre,23,Hombre,0
Guayaquil,2014,Julio,8,Mujer,48
Quito,2014,Septiembre,19,Mujer,51
Riobamba,2014,Septiembre,17,Hombre,99
Chone,2014,Julio,1,Hombre,48
Daule,2014,Julio,4,Hombre,49
Guayaquil,2014,Julio,9,Hombre,45
Guayaquil,2014,Julio,9,Hombre,49
Riobamba,2014,Septiembre,15,Mujer,47
Cuenca,2014,Septiembre,3,Hombre,50
Guayaquil,2014,Julio,9,Hombre,0
Pastaza,2014,Mayo,5,Mujer,0
Quito,2014,Abril,22,Hombre,49
Daule,2014,Julio,4,Hombre,48
Guayaquil,2014,Julio,9,Mujer,47
Guayaquil,2014,Julio,9,Mujer,38
Riobamba,2014,Septiembre,1,Mujer,50
Daule,2014,Julio,4,Mujer,48
Daule,2014,Julio,7,Hombre,48
Cuenca,2014,Septiembre,4,Mujer,47
Chone,2014,Julio,3,Mujer,50
Quito,2014,Septiembre,22,Hombre,49
Guayaquil,2014,Julio,9,Mujer,49
Daule,2014,Julio,7,Hombre,49
Riobamba,2014,Septiembre,8,Hombre,48
Chone,2014,Julio,2,Hombre,52
Cayambe,2014,Abril,10,Mujer,0
Quito,2014,Mayo,21,Hombre,0
Chone,2014,Julio,3,Mujer,50
Cuenca,2014,Septiembre,4,Hombre,52
Chone,2014,Julio,3,Hombre,0
Chone,2014,Julio,4,Hombre,0
Daule,2014,Julio,9,Mujer,47
Guayaquil,2014,Julio,9,Mujer,50
Quito,2014,Septiembre,22,Hombre,48
Guayaquil,2014,Julio,9,Mujer,47
Chone,2014,Julio,4,Mujer,46
Guayaquil,2014,Julio,9,Hombre,44
Riobamba,2014,Septiembre,11,Mujer,50
Guayaquil,2014,Julio,9,Mujer,44
Riobamba,2014,Septiembre,11,Hombre,51
Chone,2014,Julio,4,Hombre,50
Cuenca,2014,Septiembre,5,Hombre,48
Guayaquil,2014,Julio,8,Hombre,43
Guayaquil,2014,Julio,8,Hombre,50
Quito,2014,Septiembre,22,Hombre,0
Cuenca,2014,Septiembre,2,Mujer,51
Quito,2014,Septiembre,19,Mujer,50
Guayaquil,2014,Julio,8,Mujer,39
San Jacinto de Yaguachi,2014,Julio,22,Hombre,47
Guayaquil,2014,Julio,8,Mujer,38
San Jacinto de Yaguachi,2014,Julio,29,Mujer,50
Cuenca,2014,Septiembre,2,Mujer,47
Guayaquil,2014,Julio,8,Mujer,48
Quito,2014,Septiembre,19,Mujer,49
Riobamba,2014,Septiembre,25,Mujer,42
Guayaquil,2014,Julio,8,Hombre,44
Quito,2014,Septiembre,19,Mujer,48
Guayaquil,2014,Julio,8,Hombre,41
Guayaquil,2014,Julio,8,Hombre,52
Quito,2014,Septiembre,19,Mujer,50
Cuenca,2014,Septiembre,2,Mujer,0
Cuenca,2014,Septiembre,3,Mujer,0
Quito,2014,Septiembre,19,Mujer,50
Riobamba,2014,Septiembre,19,Hombre,99
Guayaquil,2014,Julio,8,Hombre,51
Cuenca,2014,Septiembre,3,Hombre,52
Riobamba,2014,Septiembre,18,Mujer,47
Guayaquil,2014,Julio,9,Hombre,48
Riobamba,2014,Septiembre,15,Hombre,48
Guayaquil,2014,Julio,9,Mujer,50
Guayaquil,2014,Julio,9,Hombre,38
Guayaquil,2014,Julio,8,Hombre,42
Chone,2014,Julio,1,Hombre,50
Quito,2014,Septiembre,19,Hombre,49
Riobamba,2014,Septiembre,19,Hombre,49
Guayaquil,2014,Julio,8,Mujer,48
Quito,2014,Septiembre,19,Mujer,46
Guayaquil,2014,Julio,28,Hombre,47
Guayaquil,2014,Julio,8,Hombre,39
Quito,2014,Septiembre,19,Mujer,46
Cuenca,2014,Septiembre,3,Hombre,49
Guayaquil,2014,Julio,8,Mujer,47
Guayaquil,2014,Julio,9,Mujer,47
Cuenca,2014,Septiembre,3,Mujer,50
Cuenca,2014,Septiembre,3,Mujer,48
Cuenca,2014,Septiembre,3,Hombre,50
Quito,2014,Septiembre,19,Hombre,0
Venta0s,2014,Septiembre,23,Hombre,0
Daule,2014,Julio,4,Mujer,48
Chone,2014,Julio,2,Hombre,49
Chone,2014,Julio,2,Hombre,50
Guayaquil,2014,Julio,9,Hombre,51
Quito,2014,Septiembre,22,Mujer,51
Daule,2014,Julio,2,Hombre,50
Guayaquil,2014,Julio,9,Hombre,49
Guayaquil,2014,Enero,3,Mujer,51
Quito,2014,Septiembre,22,Hombre,51
Cuenca,2014,Septiembre,4,Hombre,50
Quito,2014,Septiembre,22,Hombre,47
Chone,2014,Julio,3,Mujer,49
Daule,2014,Julio,7,Hombre,48
