Nombre de la Institución Educativa|Provincia|Cantón|Sostenimiento|Jornada|Número de estudiantes|Número de docentes
BATALLON CAYAMBE NÚMERO 3|EL ORO|ARENILLAS|Fiscal|Matutina|163|13
CORAZON DE JESUS|EL ORO|ARENILLAS|Particular|Vespertina|33|11
ONCE DE NOVIEMBRE|EL ORO|ARENILLAS|Fiscal|Matutina|325|19
ASAAD BUCARAM|EL ORO|ARENILLAS|Fiscal|Nocturna|118|20
BIMOT 1  CONSTITUCIÓN|EL ORO|ARENILLAS|Fiscal|Nocturna|18|1
KLEBER TINOCO PINEDA|EL ORO|ARENILLAS|Fiscal|Matutina y Vespertina|66|9
LAS BRISAS|EL ORO|ARENILLAS|Fiscal|Matutina|96|4
CENTRO DE FORMACION ARTESANAL ARENILLAS|EL ORO|ARENILLAS|Fiscal|Nocturna|301|17
25 DE DICIEMBRE|EL ORO|ARENILLAS|Fiscal|Matutina|54|3
AMAZONAS|EL ORO|ARENILLAS|Fiscal|Matutina|121|5
CIUDAD DE ARENILLAS|EL ORO|ARENILLAS|Fiscal|Matutina|465|15
ALBERT EINSTEIN|EL ORO|ARENILLAS|Particular|Matutina|138|14
SANTO TOMAS DE AQUINO|EL ORO|ARENILLAS|Particular|Matutina y Vespertina|229|20
9 DE OCTUBRE|EL ORO|ARENILLAS|Fiscal|Matutina|23|2
ARENILLAS|EL ORO|ARENILLAS|Fiscal|Matutina y Nocturna|1396|55
BATALLON DE INFANTERIA N 38 AMBATO|EL ORO|ARENILLAS|Fiscal|Matutina|21|1
18 DE NOVIEMBRE|EL ORO|ARENILLAS|Fiscal|Matutina|158|11
JUAN MONTALVO|EL ORO|ARENILLAS|Fiscal|Matutina|407|20
CIUDAD DE QUITO|EL ORO|ARENILLAS|Fiscal|Matutina|336|18
ARISTIDES CORDOVA VILLACIS|EL ORO|ARENILLAS|Fiscal|Matutina|41|5
UNION Y  PROGRESO|EL ORO|ARENILLAS|Fiscal|Matutina|4|1
CRNL FELIX HUMBERTO PINEDA CORREA|EL ORO|ARENILLAS|Fiscal|Matutina|109|6
MONS LEONIDAS PROAÑO VILLALBA|EL ORO|ARENILLAS|Fiscal|Matutina|151|6
NAPOLEON PALADINES CARREÑO|EL ORO|ARENILLAS|Fiscal|Matutina|45|5
MAYOR HECTOR ESPINOZA|EL ORO|ARENILLAS|Fiscal|Matutina|47|5
CONSTITUCION|EL ORO|ARENILLAS|Fiscal|Matutina|141|8
ING. RAFAEL GUERRERO|EL ORO|ARENILLAS|Fiscal|Matutina|12|2
DR CAMILO GALLEGOS DOMINGUEZ|EL ORO|ARENILLAS|Fiscal|Matutina y Vespertina|613|30
TAHUIN CHICO|EL ORO|ARENILLAS|Fiscal|Vespertina|11|1
5 DE JUNIO|EL ORO|ARENILLAS|Fiscal|Matutina|14|2
RUMIÑAHUI|EL ORO|ARENILLAS|Fiscal|Matutina|120|12
SOLDADO JOSE DIAZ|EL ORO|ARENILLAS|Fiscal|Matutina|187|10
SIMON BOLIVAR|EL ORO|ARENILLAS|Fiscal|Matutina|46|3
JOSE MARIA MEJIA LEQUERICA|EL ORO|ARENILLAS|Fiscal|Matutina|315|18
MAYOR GALO MOLINA|EL ORO|ARENILLAS|Fiscal|Matutina|63|4
MAYOR  MANUEL ANTONIO ROSERO|EL ORO|ARENILLAS|Fiscal|Matutina|46|3
ZOILA ESPERANZA CRESPO|EL ORO|ARENILLAS|Fiscal|Matutina|29|4
JESUS MARIA YEPEZ|EL ORO|ARENILLAS|Fiscal|Matutina|48|5
TENIENTE HUGO ORTIZ|EL ORO|ARENILLAS|Fiscal|Matutina|11|1
VICENTE ROCAFUERTE|EL ORO|ARENILLAS|Fiscal|Matutina|14|1
PROF  ROBERTO CORREA SANCHEZ|EL ORO|ARENILLAS|Fiscal|Matutina|7|1
CORDILLERA DEL CONDOR|EL ORO|ARENILLAS|Fiscal|Matutina|8|1
9 DE OCTUBRE|EL ORO|ARENILLAS|Fiscal|Matutina|15|2
PALMALES|EL ORO|ARENILLAS|Fiscal|Matutina|15|2
CABO LUIS MINACHO PADILLA|EL ORO|ARENILLAS|Fiscal|Matutina|11|2
RIO ARENILLAS|EL ORO|ARENILLAS|Fiscal|Matutina|21|3
VICENTE ANDA AGUIRRE|EL ORO|ARENILLAS|Fiscal|Matutina|8|1
JOSE MIGUEL ALVAREZ|EL ORO|ARENILLAS|Fiscal|Matutina|7|1
24 DE MAYO|EL ORO|ARENILLAS|Fiscal|Matutina|24|3
